"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"477","Ivan Provorov","CBJ, PHI","D","246","269.41666666667","1","11","5","6","12","70.59","29","3.45","2.32","82","42","22","3","0","5","10","5","5","0","0","0","6","2","3","5","6","0","0","-"
"623","Cody Glass","N.J, NSH, PIT","C","178","297.71666666667","7","5","3","2","12","50.00","59","11.86","11.64","95","88","76","47","0","9","8","4","4","0","0","1","11","6","2","10","0","52","69","42.98"
"649","Timothy Liljegren","S.J, TOR","D","190","227.88333333333","2","10","6","4","12","57.14","20","10.00","1.94","59","38","19","1","0","8","0","0","0","0","0","0","8","2","8","7","7","0","0","-"
"676","Noah Cates","PHI","L","219","272.1","5","7","6","1","12","60.00","33","15.15","7.5","68","53","54","27","1","3","4","2","2","0","0","3","4","2","11","10","1","54","73","42.52"
"817","Kaapo Kakko","NYR, SEA","R","222","264.98333333333","5","7","2","5","12","52.17","33","15.15","5.84","60","48","44","25","0","3","4","2","2","0","0","0","4","2","0","10","1","17","6","73.91"
"860","Juuso Parssinen","COL, NSH, NYR","C","137","174.25","3","9","3","6","12","75.00","13","23.08","2.4","33","23","25","9","0","1","0","0","0","0","0","0","7","2","5","10","0","20","32","38.46"
"978","Zack Bolduc","STL","C, R","97","110.93333333333","7","5","3","2","12","75.00","40","17.50","5.15","61","50","35","10","0","9","0","0","0","0","0","0","4","3","4","6","0","0","0","-"
"1080","Will Smith","S.J","C","74","150.3","5","7","4","3","12","75.00","20","25.00","2.73","52","34","25","6","0","4","2","1","1","0","0","1","8","1","0","4","0","13","10","56.52"
"39","Nicklas Backstrom","WSH","C","47","134.61666666667","6","5","2","3","11","55.00","26","23.08","4.09","43","32","31","16","0","4","2","1","1","0","0","0","4","0","1","2","0","15","18","45.45"
"97","Jakob Silfverberg","ANA","R","162","306.55","5","6","2","4","11","36.67","31","16.13","6.96","65","52","52","29","0","2","4","2","2","0","0","0","2","4","1","17","1","3","8","27.27"
"210","Sean Couturier","PHI","C","153","298.06666666667","4","7","5","2","11","45.83","54","7.41","9.32","86","67","61","41","1","12","2","1","1","0","0","0","6","2","3","7","0","166","114","59.29"
"347","Anthony Mantha","CGY, VGK, WSH","R","154","207.31666666667","5","6","1","5","11","61.11","24","20.83","4.59","47","35","28","16","0","5","2","1","1","0","0","2","10","0","7","8","1","4","3","57.14"
"423","Andrew Mangiapane","CGY, WSH","L","238","357.48333333333","4","7","2","5","11","35.48","54","7.41","10.69","101","81","83","42","1","8","14","7","7","0","0","5","7","6","7","8","1","3","1","75.00"
"660","Filip Chytil","NYR, VAN","C","140","203.21666666667","4","7","3","4","11","50.00","31","12.90","5.16","54","41","29","12","0","2","6","3","3","0","0","1","11","2","2","9","1","43","64","40.19"
"673","Emil Bemstrom","CBJ, PIT","C, R","125","145.85","7","4","1","3","11","64.71","41","17.07","5.38","71","55","35","13","1","4","4","2","2","0","0","1","3","1","0","7","2","1","1","50.00"
"844","Jackson LaCombe","ANA","D","148","202.51666666667","2","9","6","3","11","68.75","31","6.45","1.89","74","42","21","1","1","5","0","0","0","0","0","0","4","5","0","2","0","0","0","-"
"845","Jordan Spence","L.A","D","156","202.51666666667","1","10","7","3","11","61.11","25","4.00","1.73","74","41","21","2","0","9","2","1","1","0","0","0","5","3","5","3","2","0","0","-"
"973","Mackie Samoskevich","FLA","R","79","123.6","4","7","3","4","11","64.71","40","10.00","6.59","71","58","39","19","3","12","0","0","0","0","0","1","4","1","4","5","0","0","0","-"
"34","Jeff Petry","DET, PIT","D","178","169.18333333333","2","8","2","6","10","71.43","20","10.00","1.84","54","31","14","0","0","4","4","2","2","0","0","0","1","1","5","5","3","0","0","-"
"37","Derick Brassard","OTT","C","62","116.73333333333","5","5","4","1","10","55.56","27","18.52","4.71","31","29","28","22","0","6","6","3","3","0","0","0","7","1","0","3","0","14","12","53.85"
"180","Travis Boyd","ARI, MIN","C","101","193.7","2","8","4","4","10","47.62","20","10.00","3.81","35","28","25","19","0","4","6","3","3","0","0","2","9","0","1","7","1","67","58","53.60"
"264","Colton Sissons","NSH","C","235","242.68333333333","3","7","3","4","10","34.48","42","7.14","8.95","75","66","61","41","0","12","4","2","2","0","0","0","5","1","7","6","1","75","71","51.37"
"368","Nick Ritchie","ARI, CGY","L","74","170.83333333333","4","6","4","2","10","52.63","26","15.38","4.25","44","35","41","20","1","4","6","3","3","0","0","0","3","0","9","9","0","0","3","0.00"
"415","Pierre Engvall","NYI, TOR","L","212","183.95","3","7","4","3","10","76.92","20","15.00","1.8","41","26","16","3","0","2","4","2","2","0","0","0","8","1","4","11","1","15","7","68.18"
"564","Samuel Girard","COL","D","208","193.96666666667","1","9","5","4","10","76.92","10","10.00","1.43","26","16","10","5","0","1","0","0","0","0","0","1","6","4","1","4","2","0","0","-"
"630","Adam Ruzicka","ARI, CGY","C","86","135.68333333333","2","8","4","4","10","90.91","19","10.53","2.33","39","27","21","6","0","6","2","1","1","0","0","1","2","0","2","12","2","11","9","55.00"
"698","Pius Suter","DET, VAN","C","227","228.86666666667","4","6","3","3","10","41.67","32","12.50","6.62","59","46","47","27","1","13","2","1","1","0","0","2","5","6","2","3","2","60","57","51.28"
"727","Jack Drury","CAR, COL","C","184","165.8","3","7","4","3","10","55.56","37","8.11","5.09","53","45","42","20","1","8","2","1","1","0","0","0","3","2","1","9","0","62","42","59.62"
"969","Logan Stankoven","CAR, DAL","C","102","171.46666666667","3","7","3","4","10","62.50","28","10.71","6.55","53","44","37","25","0","5","14","3","2","0","1","3","6","0","0","6","0","11","9","55.00"
"1033","Pavel Mintyukov","ANA","D","131","182.95","0","10","5","5","10","58.82","20","0.00","1.39","52","28","16","3","0","5","6","3","3","0","0","0","4","2","3","3","5","0","0","-"
