"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"324","Justin Bailey","S.J","R","59","24.183333333333","0","0","0","0","0","-","1","0.00","0.03","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"326","William Carrier","CAR, VGK","L","138","25.316666666667","0","0","0","0","0","-","1","0.00","0.11","1","1","1","1","1","0","0","0","0","0","0","0","0","0","4","0","2","1","1","50.00"
"327","Tyler Bertuzzi","BOS, CHI, DET, TOR","L","212","1.6833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"328","Zachary Sanford","ARI, CHI, NSH","L","45","4.1333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"330","Nathan MacKinnon","COL","C","232","18.733333333333","0","0","0","0","0","-","2","0.00","0.14","3","3","1","0","0","0","10","1","0","0","1","0","0","0","0","0","1","13","13","50.00"
"332","Jonathan Drouin","COL, MTL","L","180","2.8166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.00"
"340","Max Domi","CHI, DAL, TOR","C","234","3.6166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","25.00"
"341","Josh Morrissey","WPG","D","239","96.15","0","0","0","0","0","0.00","2","0.00","0.12","4","4","1","0","1","0","2","1","1","0","0","3","3","1","0","1","8","0","0","-"
"347","Ross Johnston","ANA, NYI","L","127","0.35","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"348","Dakota Mermis","MIN, TOR, UTA","D","53","45.45","0","0","0","0","0","-","2","0.00","0.03","2","2","0","0","0","0","0","0","0","0","0","1","0","2","4","1","11","0","0","-"
"350","Joel Hanley","CGY, DAL","D","121","89.533333333333","0","0","0","0","0","0.00","1","0.00","0.19","2","1","1","1","0","0","0","0","0","0","0","0","1","1","3","0","11","0","0","-"
"353","Ryan Carpenter","NYR, S.J","C","84","112.01666666667","0","0","0","0","0","0.00","2","0.00","0.53","4","4","2","2","1","0","2","1","1","0","0","0","1","3","1","0","8","49","59","45.37"
"354","Jordan Oesterle","BOS, CGY, DET, NSH","D","111","36.183333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","-"
"363","Sam Bennett","FLA","C","208","117.38333333333","0","0","0","0","0","0.00","8","0.00","1.67","16","14","8","2","5","0","6","3","3","0","0","5","0","11","7","1","6","29","50","36.71"
"364","Haydn Fleury","T.B, WPG","D","92","101.81666666667","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","8","1","14","0","0","-"
"366","Nikolaj Ehlers","WPG","L","196","2.85","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"367","Nick Ritchie","ARI, CGY","L","74","1.6833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"368","Kevin Fiala","L.A","L","232","5.85","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"369","Jakub Vrana","DET, NSH, STL, WSH","L","85","0.63333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"371","Sonny Milano","WSH","L","116","1.35","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"374","Tony DeAngelo","CAR, NYI, PHI","D","136","91.6","0","0","0","0","0","0.00","3","0.00","0.06","4","3","1","0","0","0","10","1","0","0","1","0","1","2","3","0","8","0","0","-"
"376","Robby Fabbri","ANA, DET","C","140","43.616666666667","0","0","0","0","0","-","2","0.00","0.06","4","2","1","0","0","0","4","2","2","0","0","0","3","0","1","0","0","11","15","42.31"
"379","David Pastrnak","BOS","R","246","12.7","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","100.00"
"381","Brendan Lemieux","CAR, L.A, PHI","L","77","11.1","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","0","0","-"
"384","Andreas Englund","CHI, COL, L.A, NSH","D","164","127.33333333333","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","5","1","0","1","0","2","1","1","21","3","20","0","0","-"
"385","Nicolas Aube-Kubel","BUF, NYR, TOR, WSH","R","135","21.683333333333","0","0","0","0","0","-","1","0.00","0.25","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","3","0","1","1","50.00"
