"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"558","Bowen Byram","BUF","D","82","1831.9333333333","11","31","15","16","42","40.00","109","10.09","11.69","243","195","89","25","4","13","48","20","19","0","1","14","84","22","50","150","93","0","0","-"
"646","Dawson Mercer","N.J","C","82","1494.6166666667","20","22","14","8","42","60.00","158","12.66","26.13","319","248","212","113","10","35","33","11","9","1","1","13","75","27","33","97","47","114","179","38.91"
"689","Yegor Chinakhov","CBJ, PIT","R","72","970.55","21","21","9","12","42","73.68","139","15.11","13.27","300","218","146","54","12","17","10","5","5","0","0","13","38","9","49","37","31","3","6","33.33"
"56","Mattias Ekholm","EDM","D","82","1686.9333333333","6","35","14","21","41","37.61","131","4.58","8.23","309","205","98","32","5","28","30","15","15","0","0","9","101","25","65","119","125","0","0","-"
"93","Mikael Granlund","ANA","C","58","1112.0833333333","19","22","12","10","41","61.19","117","16.24","18.49","221","180","128","56","5","20","18","9","9","0","0","13","48","21","32","52","41","380","386","49.61"
"495","Mattias Samuelsson","BUF","D","78","1780.6666666667","13","28","12","16","41","39.05","109","11.93","7.44","245","163","77","14","8","12","28","14","14","0","0","11","80","17","132","163","154","0","0","-"
"596","Simon Holmstrom","NYI","R","79","1321.5666666667","19","22","13","9","41","64.06","100","19.00","13.62","206","169","132","49","7","17","16","8","8","0","0","20","56","31","16","66","45","4","13","23.53"
"659","Mavrik Bourque","DAL","C","82","1269.9","20","21","13","8","41","63.08","147","13.61","19.79","235","194","139","81","5","28","22","11","11","0","0","16","51","15","78","121","21","107","129","45.34"
"729","Mason McTavish","ANA","C","75","1148.9833333333","17","24","15","9","41","61.19","146","11.64","22.78","325","258","181","99","7","36","42","20","20","0","0","16","55","16","95","53","33","373","395","48.57"
"797","Frank Nazar","CHI","C","66","1209.1166666667","15","26","13","13","41","70.69","138","10.87","21.42","267","217","173","81","3","23","26","13","13","0","0","22","74","28","37","99","43","404","442","47.75"
"78","Justin Faulk","DET, STL","D","78","1716.8166666667","16","24","13","11","40","50.00","148","10.81","8.94","305","205","81","18","4","34","42","20","20","0","0","6","64","27","70","78","132","0","0","-"
"252","Kevin Fiala","L.A","L","56","1070.8","18","22","12","10","40","74.07","147","12.24","18.88","320","236","168","60","5","25","34","17","17","0","0","18","75","19","39","54","24","7","18","28.00"
"261","Jared McCann","SEA","L","52","854.56666666667","20","20","14","6","40","74.07","117","17.09","14.53","228","178","113","40","6","20","11","4","3","1","0","19","59","14","40","48","25","13","12","52.00"
"571","Kaapo Kakko","SEA","R","65","926.73333333333","13","27","14","13","40","72.73","78","16.67","10.81","156","120","83","45","0","16","14","7","7","0","0","7","43","19","30","42","12","17","20","45.95"
"723","Brandt Clarke","L.A","D","82","1623.7833333333","8","32","24","8","40","44.44","159","5.03","9.3","329","224","106","24","3","37","63","26","24","1","1","19","93","26","31","113","185","0","0","-"
"881","Sam Malinski","COL","D","82","1444.5333333333","8","32","19","13","40","52.63","164","4.88","6.09","414","252","99","8","4","29","22","11","11","0","0","4","76","23","46","214","95","0","0","-"
"46","Brayden Schenn","NYI, STL","C","80","1341.5","18","21","12","9","39","60.94","119","15.13","20.28","237","185","158","76","2","21","68","21","14","6","1","17","50","18","180","56","41","456","387","54.09"
"47","Oliver Ekman-Larsson","TOR","D","78","1606.4833333333","8","31","11","20","39","38.61","108","7.41","5.64","269","161","81","14","3","18","70","31","30","0","1","16","109","16","86","112","72","0","0","-"
"209","Shea Theodore","VGK","D","70","1598.55","10","29","14","15","39","44.32","129","7.75","8.66","322","198","91","14","5","23","24","11","11","0","0","8","90","23","2","92","87","0","0","-"
"556","Peyton Krebs","BUF","C","82","1128.65","12","27","18","9","39","62.90","93","12.90","11.51","182","145","95","40","2","12","78","23","17","4","2","27","58","22","201","127","41","210","267","44.03"
"609","Matias Maccelli","TOR","L","71","1034.1","14","25","12","13","39","70.91","90","15.56","12.04","176","140","100","53","1","19","16","8","8","0","0","7","67","15","24","59","17","3","4","42.86"
"6","Anze Kopitar","L.A","C","67","1281.1333333333","12","26","16","10","38","51.35","101","11.88","18.68","212","162","142","84","3","18","10","5","5","0","0","8","58","23","33","35","61","744","563","56.92"
"62","Erik Haula","NSH","L","81","1350.6","14","24","8","16","38","61.29","127","11.02","18.72","253","210","135","77","7","27","64","27","26","0","1","7","59","15","118","65","51","494","511","49.15"
"116","Boone Jenner","CBJ","C","67","1077.3166666667","13","25","17","8","38","76.00","132","9.85","19.57","269","214","154","80","9","24","44","19","17","2","0","14","53","14","147","55","66","200","180","52.63"
"129","Dougie Hamilton","N.J","D","77","1658.5833333333","12","26","10","16","38","43.18","203","5.91","11.58","457","299","123","16","12","43","50","24","24","0","0","6","119","14","87","107","77","0","0","-"
"488","Joel Farabee","CGY","L","82","1387.2166666667","20","18","11","7","38","66.67","142","14.08","16.71","249","197","147","75","6","27","28","11","9","2","0","21","70","23","49","79","52","27","32","45.76"
"665","Will Cuylle","NYR","L","82","1382.2833333333","20","18","15","3","38","63.33","157","12.74","23.77","338","248","202","106","4","36","65","28","25","3","0","21","56","9","302","88","68","42","45","48.28"
"2","Corey Perry","L.A, T.B","R","72","984.3","17","20","12","8","37","59.68","113","15.04","19.99","218","173","132","84","5","23","81","25","18","5","2","21","49","6","30","55","20","7","24","22.58"
"54","Dmitry Orlov","S.J","D","82","1738.05","3","34","18","16","37","41.11","91","3.30","4.96","237","149","60","10","1","18","48","24","24","0","0","13","105","22","123","74","77","0","0","-"
"153","Mike Matheson","MTL","D","78","1884.7166666667","7","30","13","17","37","43.02","114","6.14","7.26","267","166","79","12","6","17","34","17","17","0","0","15","94","24","59","92","150","0","0","-"
"255","Travis Sanheim","PHI","D","81","1962.0333333333","11","26","13","13","37","38.54","95","11.58","8.49","245","163","85","19","6","19","20","10","10","0","0","14","105","26","46","101","151","0","0","-"
